60 series,60 series,60 series,,61 series,61 series,61 series,,62 series,62 series,62 series,,63 series,63 series,63 series,,64 series,64 series,64 series,,65 series,65 series,65 series,,66 series,66 series,66 series,,67 series,67 series,67 series,,68 series,68 series,68 series,,69 series,69 series,69 series
6000,RJ,AS,,6100,,,,6200,,,,6300,,,,6400,,,,6500,,,,6600,,,,6700,,,,6800,,,,6900,,
6001,RJ,AS,,6101,,,,6201,,,,6301,RJ,AP,,6401,,,,6501,,,,6601,,,,6701,,,,6801,,,,6901,,
6002,RJ,AS,,6102,,,,6202,RJ,BR,,6302,RJ,AP,,6402,,,,6502,,,,6602,,,,6702,,,,6802,,,,6902,,
6003,RJ,TN,,6103,,,,6203,RJ,BR,,6303,RJ,AP,,6403,,,,6503,,,,6603,,,,6703,,,,6803,,,,6903,,
6004,,,,6104,,,,6204,RJ,BR,,6304,RJ,AP,,6404,,,,6504,,,,6604,,,,6704,,,,6804,,,,6904,,
6005,RJ,JK,,6105,,,,6205,RJ,BR,,6305,,,,6405,,,,6505,,,,6605,,,,6705,,,,6805,,,,6905,,
6006,RJ,JK,,6106,,,,6206,RJ,BR,,6306,RJ,UE,,6406,,,,6506,,,,6606,,,,6706,,,,6806,,,,6906,,
6007,,,,6107,,,,6207,RJ,BR,,6307,RJ,UE,,6407,,,,6507,,,,6607,,,,6707,,,,6807,,,,6907,,
6008,,,,6108,,,,6208,,,,6308,,,,6408,,,,6508,,,,6608,,,,6708,,,,6808,,,,6908,,
6009,RJ,NE,,6109,AT,AP,,6209,AT,BR,,6309,,,,6409,,,,6509,,,,6609,,,,6709,,,,6809,,,,6909,AT,NE
6010,,,,6110,,,,6210,,,,6310,,,,6410,,,,6510,,,,6610,,,,6710,,,,6810,,,,6910,,
6011,,,,6111,,,,6211,,,,6311,,,,6411,,,,6511,,,,6611,,,,6711,,,,6811,,,,6911,,
6012,,,,6112,,,,6212,,,,6312,,,,6412,,,,6512,,,,6612,,,,6712,,,,6812,,,,6912,,
6013,,,,6113,,,,6213,,,,6313,,,,6413,,,,6513,,,,6613,,,,6713,,,,6813,,,,6913,,
6014,,,,6114,,,,6214,,,,6314,,,,6414,,,,6514,,,,6614,,,,6714,,,,6814,,,,6914,,
