70 series,70 series,70 series,,71 series,71 series,71 series,,72 series,72 series,72 series,,73 series,73 series,73 series,,74 series,74 series,74 series,,75 series,75 series,75 series,,76 series,76 series,76 series,,77 series,77 series,77 series,,78 series,78 series,78 series,,79 series,79 series,79 series
7000,RJ,MP,,7100,,,,7200,,,,7300,AT,UW,,7400,AT,MU,,7500,VI,UW,,7600,VI,GJ,,7700,AT,BR,,7800,VI,UE,,7900,,
7001,RJ,WB,,7101,,,,7201,,,,7301,,,,7401,,,,7501,,,,7601,,,,7701,RJ,DL,,7801,,,,7901,CG,AP
7002,RJ,AS,,7102,VI,KL,,7202,,,,7302,AT,UW,,7402,,,,7502,,,,7602,AT,WB,,7702,AT,AP,,7802,,,,7902,VI,KL
7003,RJ,KO,,7103,RJ,MH,,7203,,,,7303,RJ,DL,,7403,,,,7503,,,,7603,,,,7703,RJ,DL,,7803,,,,7903,RJ,BR
7004,RJ,BR,,7104,,,,7204,,,,7304,,,,7404,,,,7504,,,,7604,RJ,TN,,7704,,,,7804,,,,7904,RJ,TN
7005,RJ,NE,,7105,,,,7205,,,,7305,AT,TN,,7405,,,,7505,,,,7605,,,,7705,,,,7805,,,,7905,RJ,UE
7006,RJ,JK,,7106,,,,7206,AT,HR,,7306,RJ,KL,,7406,VI,KA,,7506,VI,MU,,7606,,,,7706,,,,7806,,,,7906,RJ,UW
7007,RJ,UE,,7107,,,,7207,,,,7307,RJ,UE,,7407,VI,WB,,7507,VI,MH,,7607,AT,UE,,7707,VI,BR,,7807,AT,HP,,7907,RJ,KL
7008,RJ,OR,,7108,,,,7208,AT,MU,,7308,,,,7408,VI,UE,,7508,VI,PB,,7608,,,,7708,AT,TN,,7808,VI,BR,,7908,RJ,WB
7009,RJ,PB,,7109,,,,7209,,,,7309,VI,UE,,7409,VI,UW,,7509,,,,7609,VI,UW,,7709,AT,MH,,7809,,,,7909,,
7010,RJ,TN,,7110,,,,7210,,,,7310,AT,UW,,7410,,,,7510,VI,KL,,7610,,,,7710,AT,MU,,7810,,,,7910,,
7011,RJ,DL,,7111,,,,7211,,,,7311,VI,UE,,7411,,,,7511,,,,7611,,,,7711,,,,7811,,,,7911,,
7012,RJ,KL,,7112,,,,7212,,,,7312,,,,7412,,,,7512,,,,7612,,,,7712,,,,7812,,,,7912,,
7013,RJ,AP,,7113,,,,7213,,,,7313,,,,7413,,,,7513,,,,7613,,,,7713,,,,7813,,,,7913,,
7014,RJ,RJ,,7114,,,,7214,,,,7314,,,,7414,,,,7514,,,,7614,,,,7714,,,,7814,,,,7914,,
7015,RJ,HR,,7115,,,,7215,,,,7315,,,,7415,,,,7515,,,,7615,,,,7715,,,,7815,,,,7915,,
7016,RJ,GJ,,7116,,,,7216,,,,7316,,,,7416,,,,7516,,,,7616,,,,7716,,,,7816,,,,7916,,
7017,RJ,UW,,7117,,,,7217,RJ,DL,,7317,,,,7417,,,,7517,VI,MH,,7617,VI,MP,,7717,RJ,BR,,7817,,,,7917,,
7018,RJ,HP,,7118,,,,7218,,,,7318,,,,7418,,,,7518,AT,UE,,7618,,,,7718,AT,MU,,7818,,,,7918,,
7019,RJ,KA,,7119,,,,7219,AT,MH,,7319,AT,BR,,7419,RJ,HR,,7519,,,,7619,AT,KA,,7719,VI,MH,,7819,,,,7919,,
7020,RJ,MH,,7120,,,,7220,,,,7320,,,,7420,,,,7520,VI,BR,,7620,,,,7720,VI,MH,,7820,,,,7920,,
7021,RJ,MU,,7121,,,,7221,,,,7321,,,,7421,,,,7521,,,,7621,,,,7721,VI,MH,,7821,,,,7921,,
7022,AT,KA,,7122,,,,7222,,,,7322,VI,BR,,7422,,,,7522,,,,7622,,,,7722,,,,7822,,,,7922,,
7023,AT,RJ,,7123,,,,7223,,,,7323,VI,BR,,7423,,,,7523,,,,7623,,,,7723,,,,7823,,,,7923,,
7024,AT,MP,,7124,,,,7224,,,,7324,VI,BR,,7424,,,,7524,,,,7624,AT,KA,,7724,,,,7824,,,,7924,,
7025,VI,KL,,7125,,,,7225,,,,7325,AT,OR,,7425,,,,7525,,,,7625,AT,KA,,7725,,,,7825,,,,7925,,
