series,operator,circle
6109,AP,
6202,RJ,BR
6203,RJ,BR
6204,RJ,BR
6205,RJ,BR
6206,RJ,BR
6207,RJ,BR
6209,AT,BR
6230,AT,DL
6232,AT,MP
6235,VI,KL
6238,RJ,KL
6260,RJ,MP
6261,RJ,MP
6262,VI,MP
6263,RJ,MP
6264,RJ,MP
6265,RJ,MP
6266,RJ,MP
6267,RJ,MP
6268,RJ,MP
6269,VI,MP
6280,RJ,PB
6282,RJ,KL
6283,RJ,PB
6284,RJ,PB
6287,AT,BR
6290,RJ,WB
6291,RJ,WB
6303,RJ,AP
6304,RJ,AP
6305,RJ,AP
6306,RJ,AP
6308,RJ,UE
6309,RJ,UE
6353,RJ,GJ
6354,RJ,GJ
6356,RJ,GJ
6357,RJ,GJ
6361,VI,GJ
6362,RJ,KA
6363,RJ,KA
6364,RJ,KA
6365,RJ,KA
6366,AT,KA
6368,AT,KA
6369,RJ,RJ
6372,RJ,OR
6373,RJ,OR
6374,RJ,OR
6376,RJ,TN
6377,RJ,RJ
6378,RJ,RJ
6379,RJ,RJ
6380,RJ,RJ
6382,RJ,TN
6383,RJ,TN
6384,RJ,TN
6385,RJ,TN
6387,AT,TN
6388,RJ,UE
6389,RJ,UE
6390,RJ,UE
6391,VI,UE
6393,VI,UE
